TrainingType,BrainTypeVegan,SurvivorPercentageVegan,SurvivorAvgAgeVegan,BrainTypeCarnivore,SurvivorPercentageCarnivore,SurvivorAvgAgeCarnivore
veg_POCA__carn_SAC,POCA,0.866666700,8862.000000000,SAC,0.533333361,7682.933000000
veg_POCA__carn_SAC,POCA,0.866666700,9260.667000000,SAC,0.333333343,7839.000000000
veg_POCA__carn_SAC,POCA,0.933333337,9675.900000000,SAC,0.466666669,8269.200000000
veg_POCA__carn_SAC,POCA,0.833333300,9236.434000000,SAC,0.400000000,7324.333500000
veg_POCA__carn_SAC,POCA,0.933333337,9818.467000000,SAC,0.200000000,6814.733400000
veg_POCA__carn_SAC,POCA,0.866666700,9444.934000000,SAC,0.600000000,7755.133300000
veg_POCA__carn_SAC,POCA,0.866666700,9171.000000000,SAC,0.000000000,4720.200000000
veg_POCA__carn_SAC,POCA,0.900000000,9369.167000000,SAC,0.333333343,6343.067000000
veg_POCA__carn_SAC,POCA,0.700000000,8316.634000000,SAC,0.200000000,7193.733400000
veg_POCA__carn_SAC,POCA,0.933333337,9641.200000000,SAC,0.266666681,6439.467000000
veg_POCA__carn_SAC,POCA,0.800000000,9311.434000000,SAC,0.466666669,8363.600000000
veg_POCA__carn_SAC,POCA,0.933333337,9627.600000000,SAC,0.333333343,7248.400000000
veg_POCA__carn_SAC,POCA,0.866666700,8899.100000000,SAC,0.133333340,5720.000000000
veg_POCA__carn_SAC,POCA,0.766666651,8221.100000000,SAC,0.200000000,6844.266600000
veg_POCA__carn_SAC,POCA,0.800000000,8749.400000000,SAC,0.466666669,8044.133300000
veg_POCA__carn_SAC,POCA,0.833333300,9104.866000000,SAC,0.600000000,7839.333500000
veg_POCA__carn_SAC,POCA,0.833333300,8891.267000000,SAC,0.533333361,8102.133300000
veg_POCA__carn_SAC,POCA,0.866666700,9036.700000000,SAC,0.133333340,6025.333500000
veg_POCA__carn_SAC,POCA,0.833333300,8637.767000000,SAC,0.266666681,7368.533000000
veg_POCA__carn_SAC,POCA,0.800000000,9224.934000000,SAC,0.333333343,7905.733400000
veg_POCA__carn_SAC,POCA,0.900000000,9138.634000000,SAC,0.000000000,5137.600000000
veg_POCA__carn_SAC,POCA,0.900000000,9184.066000000,SAC,0.266666681,6860.000000000
veg_POCA__carn_SAC,POCA,0.900000000,9467.134000000,SAC,0.200000000,6603.333500000
veg_POCA__carn_SAC,POCA,0.900000000,9549.600000000,SAC,0.066666670,7090.133300000
veg_POCA__carn_SAC,POCA,0.900000000,9491.100000000,SAC,0.133333340,6455.266600000
veg_POCA__carn_SAC,POCA,0.833333300,9162.967000000,SAC,0.400000000,6775.333500000
veg_POCA__carn_SAC,POCA,0.900000000,9410.033000000,SAC,0.200000000,6296.000000000
veg_POCA__carn_SAC,POCA,0.866666700,9126.167000000,SAC,0.533333361,8718.600000000
veg_POCA__carn_SAC,POCA,0.766666651,8799.500000000,SAC,0.600000000,8749.267000000
veg_POCA__carn_SAC,POCA,0.933333337,9666.033000000,SAC,0.133333340,6548.400000000
